Date,Price,Open,High,Low
1/1/2007,1.1657,1.166,1.1663,1.1659
1/2/2007,1.1637,1.1658,1.1663,1.1625
1/3/2007,1.1724,1.164,1.1733,1.1637
1/4/2007,1.1771,1.1727,1.178,1.1715
1/5/2007,1.1725,1.1776,1.1789,1.1719
1/8/2007,1.1756,1.1731,1.1787,1.1722
1/9/2007,1.1762,1.1753,1.1799,1.1729
1/10/2007,1.1755,1.1763,1.1797,1.1753
1/11/2007,1.1763,1.1754,1.1805,1.1692
1/12/2007,1.1691,1.1772,1.1783,1.1683
1/15/2007,1.1664,1.1692,1.1707,1.1659
1/16/2007,1.1761,1.167,1.1778,1.1645
1/17/2007,1.1727,1.1766,1.1774,1.1723
1/18/2007,1.1727,1.173,1.1775,1.1713
1/19/2007,1.1716,1.1736,1.1757,1.1698
1/22/2007,1.1819,1.1726,1.1839,1.1713
1/23/2007,1.1801,1.1825,1.1854,1.1787
1/24/2007,1.1781,1.1804,1.1838,1.1764
1/25/2007,1.183,1.1788,1.1833,1.1731
1/26/2007,1.1796,1.1825,1.1846,1.178
1/29/2007,1.1826,1.1798,1.1849,1.179
1/30/2007,1.1802,1.1825,1.1845,1.179
1/31/2007,1.176,1.1803,1.1847,1.1749
2/1/2007,1.1783,1.1766,1.1806,1.1734
2/2/2007,1.1847,1.1787,1.1873,1.1777
2/5/2007,1.1819,1.1835,1.1867,1.1807
2/6/2007,1.1823,1.1825,1.1847,1.1809
2/7/2007,1.1846,1.1823,1.1858,1.1814
2/8/2007,1.1821,1.1848,1.1879,1.1819
2/9/2007,1.1718,1.1826,1.1853,1.1713
2/12/2007,1.1748,1.1734,1.1765,1.1706
2/13/2007,1.1664,1.1752,1.1771,1.1659
2/14/2007,1.1648,1.1666,1.1692,1.1643
2/15/2007,1.1627,1.1652,1.1673,1.162
2/16/2007,1.1625,1.1629,1.1658,1.1619
2/19/2007,1.1642,1.1637,1.1662,1.1629
2/20/2007,1.1695,1.1642,1.1719,1.1633
2/21/2007,1.1602,1.1703,1.1715,1.1593
2/22/2007,1.1611,1.1603,1.1635,1.159
2/23/2007,1.1586,1.1616,1.1629,1.1561
2/26/2007,1.1607,1.1597,1.1612,1.1576
2/27/2007,1.1667,1.1605,1.1676,1.1588
2/28/2007,1.1688,1.1667,1.174,1.1656
3/1/2007,1.1721,1.1697,1.1752,1.1673
3/2/2007,1.177,1.1728,1.1776,1.1707
