_id,OBJECTID,FLOC_ID,Building Description,Address,City,Ward Name,Former Municipality,District,City Cluster,Building Type,Building Status,Jurisdiction,Management,Owner,Gross Floor Area (M2),Gross Floor Area (FT2),Year Built,WARD,geometry
1,1,001522-B01,PARKING AUTHORITY SITE,21 PLEASANT BLVD,TORONTO,Toronto-St. Paul's,Toronto (Old),South,"Agencies, Boards, and Commissions",Parking Structure- Multi-Level,City Use,Toronto Parking Authority,Toronto Parking Authority,Toronto Transit Commission,,,,12,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.392678610626, 43.6868185456655]]}"
2,2,002990-B06,PLEWES YARD - STORAGE BUILDING,170 PLEWES RD,TORONTO,York Centre,Toronto (Amal),North,Citizen-Focused Services Group B,Yard Storage Building,City Use,Transportation Services,Transportation Services,City of Toronto,511,5500,1974,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4718947076352, 43.7337818991703]]}"
3,3,002990-B02,PLEWES YARD - EMS STATION NO. 52 - GARAGE & OFFICE,170 PLEWES RD,TORONTO,York Centre,Metro Toronto,North,Internal Services Group,EMS Station/Facility,Declared Surplus,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,490,5275,1974,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4718947076352, 43.7337818991703]]}"
4,4,007617-B01,CREATETO - INDUSTRIAL BUILDING,63 POLSON ST,TORONTO,Toronto-Danforth,None,South,Affiliated Corporations and Organizations,Warehouse & Office,City Use,CreateTO,CreateTO,TEDCO,1919,20658,1957,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3525468575841, 43.641995596686]]}"
5,5,001555-B01,PARKING AUTHORITY SITE - PORTLAND GARAGE,2 PORTLAND ST,TORONTO,Spadina-Fort York,Toronto (Old),South,"Agencies, Boards, and Commissions",Parking Garage - Below Grade,City Use,Toronto Parking Authority,Toronto Parking Authority,City of Toronto,,,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3992355083635, 43.6416993085891]]}"
6,6,005855-B07,TODMORDEN MILLS - PAPERMILL GALLERY & THEATRE,67 POTTERY RD,TORONTO,Toronto-Danforth,East York,South,Citizen-Focused Services Group A,Museum/Heritage,City Use,Economic Development & Culture,Economic Development & Culture,City of Toronto,883,9505,,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.360334014503, 43.6863612340699]]}"
7,7,005855-B01,TODMORDEN MILLS - WASHROOM,67 POTTERY RD,TORONTO,Toronto-Danforth,East York,South,Citizen-Focused Services Group A,Public Lavatory,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,45,484,,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.360334014503, 43.6863612340699]]}"
8,8,005855-B08,TODMORDEN MILLS - REGENCY COTTAGE,67 POTTERY RD,TORONTO,Toronto-Danforth,East York,South,Citizen-Focused Services Group A,Arts/Cultural Building,City Use,Economic Development & Culture,Economic Development & Culture,City of Toronto,146,1572,,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.360334014503, 43.6863612340699]]}"
9,9,005855-B06,TODMORDEN MILLS - HELLIWELL HOUSE,67 POTTERY RD,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group A,Arts/Cultural Building,City Use,Economic Development & Culture,Economic Development & Culture,City of Toronto,211,2275,,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.360334014503, 43.6863612340699]]}"
10,10,005855-B05,TODMORDEN MILLS - STORAGE SHED,67 POTTERY RD,TORONTO,Toronto-Danforth,East York,South,Citizen-Focused Services Group A,Park Storage Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,75,807,,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.360334014503, 43.6863612340699]]}"
